Date,Open,High,Low,Close,Volume,Days,Interest_Rate,SP500,Interest_Rate_MA30,SP500_MA30,RSI,MACD,BB_Upper,MA_7,Volatility_7
2021-01-04,150.99000549316406,151.0050048828125,137.0,139.14999389648438,6409900.0,25,0.09,3700.65,0.09,3704.0806666666667,34.883081140039195,-0.4576649956501626,165.261176708574,146.3971426827567,3.422557800353539
2021-01-05,138.27999877929688,149.0,137.25,148.3000030517578,5974200.0,26,0.09,3726.86,0.09,3705.0053333333335,50.11856851601959,-0.38276027523997413,164.3587020468454,146.15428597586495,3.175711270867537
2021-01-06,145.75,148.35000610351562,141.11000061035156,142.77000427246094,4213900.0,27,0.09,3748.14,0.09,3706.8779999999997,43.49502645740383,-0.7608518040335355,164.6435657230288,145.34571620396204,3.219960625721905
2021-01-07,146.3699951171875,154.4199981689453,145.26100158691406,151.27000427246094,4482800.0,28,0.09,3803.79,0.09,3710.2626666666665,53.637369252234514,-0.37034400688850155,164.1088513742343,145.98428780691964,3.922938983835035
2021-01-08,153.4499969482422,155.5399932861328,147.25,149.77000427246094,4615600.0,29,0.09,3824.68,0.09,3715.324666666667,51.868040767938844,-0.17982827970209314,163.4858739876591,146.4085736955915,4.178174039276055
2021-01-09,153.4499969482422,155.5399932861328,147.25,149.77000427246094,4615600.0,30,0.09,3824.68,0.09,3720.544,51.86804076793883,-0.028514495955420216,162.810030215355,146.8328595842634,4.370901867079674
2021-01-10,153.4499969482422,155.5399932861328,147.25,149.77000427246094,4615600.0,31,0.09,3824.68,0.09,3725.918,51.86804076793883,0.0903611408370466,160.77925539046572,147.25714547293526,4.509144570578022
2021-01-11,147.99000549316406,150.5,144.02000427246094,148.1300048828125,2801900.0,32,0.09,3799.61,0.09,3730.4563333333335,49.63234712762857,0.051641404781264555,158.22207327991646,148.54000418526786,2.7540939249732306
2021-01-12,148.0800018310547,163.8800048828125,143.61000061035156,160.8000030517578,8123600.0,33,0.09,3801.19,0.09,3735.047333333334,62.92724167668767,1.031429027846798,158.96984923213404,150.32571847098214,5.37647256070784
2021-01-13,160.80999755859375,178.6199951171875,159.35000610351562,169.99000549316406,12529700.0,34,0.09,3809.84,0.09,3740.4590000000003,69.26444935716597,2.5204203343739096,163.13335552288052,154.21429007393974,8.136207003655358
2021-01-14,175.5399932861328,187.4199981689453,174.97500610351562,180.5,9926500.0,35,0.09,3795.54,0.09,3743.823,74.60984583703075,4.496690346194015,169.92707376536384,158.39000374930245,12.631975439230228
2021-01-15,184.5800018310547,185.9949951171875,164.86000061035156,169.27000427246094,8575700.0,36,0.09,3768.25,0.09,3746.059,62.16841079902468,5.097965592617584,172.16587976117947,161.17571803501673,12.564164734246125
2021-01-16,184.5800018310547,185.9949951171875,164.86000061035156,169.27000427246094,8575700.0,37,0.09,3768.25,0.09,3747.5846666666666,62.16841079902468,5.5109537134039215,174.1972002559738,163.96143232073103,11.749149951553491
2021-01-17,184.5800018310547,185.9949951171875,164.86000061035156,169.27000427246094,8575700.0,38,0.09,3768.25,0.09,3749.5460000000003,62.16841079902468,5.771717013582361,176.23801631355371,166.7471466064453,10.00598175301964
2021-01-18,184.5800018310547,185.9949951171875,164.86000061035156,169.27000427246094,8575700.0,39,0.09,3768.25,0.09,3751.5073333333335,62.168410799024684,5.910244191630028,178.05358298046303,169.76714651925224,5.72483003506417
2021-01-19,173.0,178.60000610351562,166.60000610351562,173.69000244140625,4685400.0,40,0.09,3798.91,0.09,3754.4906666666666,65.23722115493285,6.304016117348141,180.45328869110878,171.60857500348772,4.240385166540688
2021-01-20,176.00999450683594,176.30999755859375,161.0,161.8300018310547,8517400.0,41,0.09,3851.85,0.09,3759.721666666667,52.84921732066688,5.594589331061087,180.89394384897912,170.44286019461495,5.6476202522716195
2021-01-21,164.99000549316406,183.47000122070312,155.3300018310547,180.39999389648438,17618400.0,42,0.08,3853.07,0.08966666666666666,3765.248666666667,64.28504644422424,6.456381508493678,184.10961868787942,170.42857360839844,5.617987611669543
2021-01-22,178.08999633789062,185.3070068359375,175.19000244140625,181.8699951171875,7136800.0,43,0.08,3841.47,0.08933333333333333,3770.2973333333334,65.00853479049252,7.1752628672961976,187.11380988983876,172.22857230050224,7.0267890370093875
2021-01-23,178.08999633789062,185.3070068359375,175.19000244140625,181.8699951171875,7136800.0,44,0.08,3841.47,0.089,3774.911,65.00853479049252,7.656719625705051,189.61421376251843,174.02857099260603,7.722030466316634
2021-01-24,178.08999633789062,185.3070068359375,175.19000244140625,181.8699951171875,7136800.0,45,0.08,3841.47,0.08866666666666667,3779.5246666666667,65.00853479049252,7.9466732725985025,190.82386630739745,175.82856968470983,7.89453962312771
2021-01-25,186.0500030517578,192.47000122070312,170.02999877929688,177.52999877929688,7472900.0,46,0.08,3855.36,0.08833333333333333,3784.6013333333335,60.49006658517785,7.737074020018383,191.7699043586765,177.0085688999721,7.349329094411976
2021-01-26,180.0,193.0,177.3000030517578,192.74000549316406,6460900.0,47,0.08,3849.62,0.088,3789.4866666666667,68.70075304016677,8.698020166595825,194.48431882483814,179.72999790736608,9.207766756725206
2021-01-27,187.63999938964844,216.0,185.5,201.25,11019800.0,48,0.08,3750.77,0.08766666666666666,3790.000333333334,72.18377290054707,10.030635425381604,199.39252841625998,185.3614262172154,8.459782786314266
2021-01-28,202.60000610351562,212.83999633789062,187.0500030517578,187.3699951171875,7077700.0,49,0.07,3787.38,0.08700000000000001,3792.0116666666663,60.38137884395989,9.853161116965168,200.38290033877885,186.35714067731584,8.184191632858255
