Date,Open,High,Low,Close,Volume,Days,Interest_Rate,SP500,Interest_Rate_MA30,SP500_MA30,RSI,MACD,BB_Upper,MA_7,Volatility_7
2015-12-18,92.88520620767714,93.15828807107788,90.59697546124977,90.67230987548828,6039600.0,25,0.37,2005.55,0.14433333333333334,2067.362666666667,43.44962123802998,-0.26045493356060945,94.61152743851149,91.48214067731585,1.9964312859151692
2015-12-19,92.88520620767714,93.15828807107788,90.59697546124977,90.67230987548828,6039600.0,26,0.37,2005.55,0.15266666666666667,2064.6613333333335,43.44962123802997,-0.33303485157382795,94.49343268892936,91.6785409109933,1.8040520573638408
2015-12-20,92.88520620767714,93.15828807107788,90.59697546124977,90.67230987548828,6039600.0,27,0.37,2005.55,0.161,2061.96,43.44962123802998,-0.386104190740042,94.44086717544698,91.87494114467076,1.559957045713078
2015-12-21,91.25612702263268,92.03769810335241,90.61579896691502,91.3785400390625,2748400.0,28,0.36,2021.15,0.169,2059.7786666666666,47.38642806787879,-0.36694523611801344,94.38727475305627,91.97448621477399,1.4918712842062836
2015-12-22,91.82114713881131,92.08481044051638,91.13373308712072,91.84939575195312,3341900.0,29,0.36,2038.97,0.17700000000000002,2058.1913333333337,49.89109380610271,-0.31019180755257025,94.40950826544444,91.8547613961356,1.4583691708201976
2015-12-23,92.2260745719696,93.11122904888236,92.00948986480614,92.96998596191406,2054200.0,30,0.36,2064.29,0.185,2057.448,55.34005634333279,-0.17280010964769588,94.539800656148,91.67854527064732,1.1740838428723481
2015-12-24,93.01703694285459,93.32778601037592,92.57445624383061,92.83811950683594,932700.0,31,0.36,2060.99,0.193,2056.509666666667,54.58779859357621,-0.07370707084359651,94.52604751691254,91.57899584089007,1.008280953148376
2015-12-25,93.01703694285459,93.32778601037592,92.57445624383061,92.83811950683594,932700.0,32,0.36,2060.99,0.201,2055.5803333333333,54.58779859357621,0.00476989198975275,94.51222960334697,91.88839721679688,1.0159553278637186
2015-12-26,93.01703694285459,93.32778601037592,92.57445624383061,92.83811950683594,932700.0,33,0.36,2060.99,0.209,2054.651,54.58779859357621,0.06620033418693083,94.49834631200189,92.19779859270368,0.9079272085271073
2015-12-27,93.01703694285459,93.32778601037592,92.57445624383061,92.83811950683594,932700.0,34,0.36,2060.99,0.217,2053.6803333333332,54.58779859357621,0.11357517825382502,94.5729755615604,92.5071999686105,0.6270009918566668
2015-12-28,92.42381134653726,92.8663921257485,92.15072943629444,92.7816390991211,1673400.0,35,0.36,2056.5,0.225,2052.56,54.16363140297229,0.1448923577106882,94.60939298627989,92.70764269147601,0.3827497151044882
2015-12-29,93.44078807903044,94.15644345796903,93.44078807903044,93.9021987915039,2362300.0,36,0.36,2078.36,0.233,2052.1683333333335,60.68993291210755,0.2571667916324003,94.84548211462177,93.00090026855469,0.4015305068921601
2015-12-30,93.85509859339447,94.13759900995234,92.96994451112894,93.10177612304688,1856700.0,37,0.35,2063.36,0.242,2051.6,54.69886413526735,0.27834903506584396,94.95370059894411,93.0197274344308,0.40292668816845995
2015-12-31,92.51793838260912,93.09235058496901,91.67986297607422,91.67986297607422,3219200.0,38,0.2,2043.94,0.24433333333333332,2049.6436666666664,46.00974338796887,0.17834377207068997,94.82945782984595,92.85426221575055,0.6512428698882856
2016-01-01,92.51793838260912,93.09235058496901,91.67986297607422,91.67986297607422,3219200.0,39,0.2,2043.94,0.24666666666666665,2048.458,46.00974338796887,0.09795966263493483,94.65930709401822,92.68879699707031,0.7886703441481887
2016-01-02,92.51793838260912,93.09235058496901,91.67986297607422,91.67986297607422,3219200.0,40,0.2,2043.94,0.249,2048.268666666667,46.00974338796887,0.03386431008401303,94.42479589045357,92.52333177839007,0.8694830789117627
2016-01-03,92.51793838260912,93.09235058496901,91.67986297607422,91.67986297607422,3219200.0,41,0.2,2043.94,0.25133333333333335,2046.677,46.00974338796887,-0.016738764536597728,94.36813623051638,92.35786655970982,0.9089097941520363
2016-01-04,89.80601276857983,90.01317169382976,88.25227413133766,89.27867889404297,6378700.0,42,0.36,2012.66,0.259,2044.0426666666667,33.81034846455057,-0.24774174105911584,94.58103255877654,91.85744367327008,1.443696305885234
2016-01-05,89.81539692318823,90.2391476143348,88.90199409319173,89.44815063476562,4352500.0,43,0.36,2016.71,0.26666666666666666,2041.5433333333335,35.11793270225259,-0.4123845981509078,94.4241347123797,91.22115107945034,1.3720511250771963
2016-01-06,88.21211295309351,89.06130578733094,87.73090967926282,88.08001708984375,4370000.0,44,0.36,1990.26,0.2743333333333334,2038.6496666666667,29.970512365692244,-0.6458176083088745,94.54394619094487,90.50375693184989,1.528754252320787
2016-01-07,86.39108257401806,87.15535984517129,85.56076455946929,86.46656799316406,6600000.0,45,0.36,1943.09,0.282,2034.633,25.26696765738039,-0.9500551640560104,95.09499791014524,89.75900050571987,2.0435088917303403
2016-01-08,86.77789967074114,87.03265384375923,84.6549218337547,84.81532287597656,5912100.0,46,0.36,1922.03,0.28933333333333333,2030.4466666666665,21.541008408461707,-1.3093143391428725,95.7998839342078,88.77835191999164,2.5519308336845277
2016-01-09,86.77789967074114,87.03265384375923,84.6549218337547,84.81532287597656,5912100.0,47,0.36,1922.03,0.2966666666666667,2026.1066666666668,21.541008408461707,-1.5758642416850819,96.26298108331137,87.79770333426339,2.5699947189881187
2016-01-10,86.77789967074114,87.03265384375923,84.6549218337547,84.81532287597656,5912100.0,48,0.36,1922.03,0.304,2023.0953333333334,21.541008408461707,-1.7667410685579057,96.52929133500376,86.81705474853516,2.110330357487185
2016-01-11,85.15505863886146,85.95707160181686,84.24925500083906,85.4664306640625,5845600.0,49,0.36,1923.67,0.31133333333333335,2020.1386666666667,26.853222482210413,-1.8442144162769694,96.56149739031557,86.27244785853794,1.8443327898265152
2016-01-12,86.43824073644574,86.68356468681955,85.03235935682322,86.27783966064453,4441800.0,50,0.36,1938.68,0.3186666666666667,2017.6823333333334,32.94617784273876,-1.8191684363719531,96.3124699216649,85.81954629080636,1.2171334339332793
2016-01-13,86.87226318543131,86.94774857856409,83.73969135725376,84.15485382080078,4895000.0,51,0.36,1890.28,0.32566666666666666,2013.2936666666667,26.68341260635205,-1.9481692491818023,96.18164908169065,85.25880868094308,0.8513683977941683
2016-01-14,84.35302246889204,86.51374389377193,84.12657342135844,85.58906555175781,6235800.0,52,0.36,1921.84,0.3326666666666666,2009.2413333333336,35.59097143378909,-1.9126268504899997,95.82715578577684,85.13345118931362,0.6939445741659411
2016-01-15,83.11695664068753,84.23977858911043,82.86220240969855,83.70195770263672,6459800.0,53,0.36,1880.33,0.3396666666666667,2002.8166666666666,30.36365655477161,-2.0135224423224543,95.52301740778474,84.97439902169364,0.8813095622013786
