Date,Open,High,Low,Close,Volume,Days,Interest_Rate,SP500,Interest_Rate_MA30,SP500_MA30,RSI,MACD,BB_Upper,MA_7,Volatility_7
2015-08-07,212.98078458024384,216.2440330329182,212.57831528637485,214.14468383789062,8608888.0,25,0.14,2077.57,0.12866666666666668,2098.200333333333,36.90120892650271,-1.6368501190953282,227.7338228732124,215.84622410365515,2.112813195964045
2015-08-08,212.98078458024384,216.2440330329182,212.57831528637485,214.14468383789062,8608888.0,26,0.14,2077.57,0.129,2099.0756666666666,36.90120892650271,-1.7259680917289018,227.55070247678756,215.30235290527344,1.9653316391180922
2015-08-09,212.98078458024384,216.2440330329182,212.57831528637485,214.14468383789062,8608888.0,27,0.14,2077.57,0.12933333333333336,2099.1073333333334,36.90120892650271,-1.7761207131172796,227.19126643041176,214.75848170689173,1.6033985514304907
2015-08-10,214.1773286125562,215.11277860805586,209.8263352460786,210.78355407714844,9288894.0,28,0.14,2104.18,0.12966666666666668,2100.0260000000003,29.85903047573079,-2.063297696963758,227.435391456217,213.71580287388392,1.4472565878949437
2015-08-11,211.2404242319297,211.81692809853757,208.41227616385518,210.15267944335938,8762464.0,29,0.15,2084.07,0.13033333333333333,2100.2743333333333,28.749991960166497,-2.315106726923915,225.88951226717077,213.0320805140904,1.848209005750094
2015-08-12,209.63054713458936,210.1526651785522,204.61603267231004,205.1272735595703,9650325.0,30,0.15,2086.05,0.131,2099.822666666667,21.802961823754558,-2.8868971003639103,225.05332675783285,211.6382119315011,3.3153740125539297
2015-08-13,206.01920262615735,207.5311707776468,202.19032778752756,203.04965209960938,9340350.0,31,0.15,2083.39,0.13166666666666668,2098.9706666666666,19.685181800695318,-3.4677180837640833,225.2148610841358,210.22103009905135,4.543884151974232
2015-08-14,204.55075301572612,211.45793574650043,203.25632790718575,210.35931396484375,12739366.0,32,0.14,2091.54,0.132,2098.442,41.291540656504544,-3.300152174571565,224.13018945185664,209.68026297433036,4.212251165793122
2015-08-15,204.55075301572612,211.45793574650043,203.25632790718575,210.35931396484375,12739366.0,33,0.14,2091.54,0.132,2097.3503333333333,41.291540656504544,-3.131259770793122,222.84428366625048,209.13949584960938,3.762565886927533
2015-08-16,204.55075301572612,211.45793574650043,203.25632790718575,210.35931396484375,12739366.0,34,0.14,2091.54,0.13233333333333333,2096.1803333333332,41.291540656504544,-2.963252790387884,222.28249837873543,208.5987287248884,3.1445841848801543
2015-08-17,210.1526693881804,210.1526693881804,205.81255307676207,206.82415771484375,10857430.0,35,0.15,2102.44,0.133,2095.373666666667,35.51962869780826,-3.0798608935987204,221.6181475935769,208.03310067313058,3.040464684168499
2015-08-18,207.97714132271105,207.97714132271105,204.97497374892143,205.3883056640625,6630334.0,36,0.15,2096.92,0.13366666666666668,2094.383,33.47300021821806,-3.250663293115707,221.46111545382107,207.35247584751673,3.0201028784394146
2015-08-19,205.36657751663782,209.06491256841613,204.37672718084926,207.672607421875,8877298.0,37,0.15,2079.61,0.134,2092.7606666666666,39.45037539176494,-3.165214738916177,220.85227839970798,207.71609497070312,2.856325008162873
2015-08-20,208.8364879290492,208.8364879290492,198.78570458144003,199.3404541015625,19008087.0,38,0.15,2035.73,0.13466666666666666,2089.978,29.158995701489886,-3.72687024207346,220.99634543378627,207.18620954241072,3.9866814989278065
2015-08-21,197.96990373414337,198.38325021650104,195.14175582094987,197.52392578125,20050521.0,39,0.15,1970.89,0.13533333333333336,2085.2026666666666,27.47613668837603,-4.269350513779187,221.0107221640073,205.35258265904017,5.0845779768654165
2015-08-22,197.96990373414337,198.38325021650104,195.14175582094987,197.52392578125,20050521.0,40,0.15,1970.89,0.136,2080.8273333333336,27.47613668837603,-4.645717102565413,220.5848789159953,203.51895577566964,5.2883960474273355
2015-08-23,197.96990373414337,198.38325021650104,195.14175582094987,197.52392578125,20050521.0,41,0.15,1970.89,0.1366666666666667,2077.202,27.47613668837603,-4.887648565545334,219.7562089853304,201.6853288922991,4.7155305140306325
2015-08-24,191.4434025336324,191.4434025336324,177.9553372347147,180.46803283691406,35635706.0,42,0.15,1893.21,0.13733333333333334,2070.9873333333335,16.386037139632492,-6.382080361837893,222.5589321845326,197.92016819545202,8.736402891497425
2015-08-25,182.92635689417696,187.23384162837115,179.0866189404801,184.51446533203125,49504268.0,43,0.15,1867.61,0.138,2063.9193333333333,24.202612756533185,-7.1574088879627595,223.0213302759977,194.93819100516183,9.306296158728342
2015-08-26,184.4383462194209,190.3121857464456,182.74146602199252,185.65663146972656,18955515.0,44,0.14,1940.51,0.13799999999999998,2059.681666666667,26.29703550781997,-7.592181130917226,222.98019057014454,191.79305158342635,7.899172543419342
2015-08-27,188.57175169391553,191.7153369455157,186.45064816190617,189.08299255371094,26997546.0,45,0.14,1987.66,0.138,2056.162,32.337197992795964,-7.572966122191417,221.98275971857896,190.32769993373327,7.184844097093363
2015-08-28,190.35566570979083,192.0960542766674,188.419473808158,189.7900390625,10770215.0,46,0.14,1988.87,0.138,2052.172,33.54744737598304,-7.41520744944367,220.62406980495004,189.22285897391183,6.450976749502303
2015-08-29,190.35566570979083,192.0960542766674,188.419473808158,189.7900390625,10770215.0,47,0.14,1988.87,0.13799999999999998,2048.18,33.54744737598304,-7.207103561114877,218.96094136279362,188.1180180140904,5.36283311977322
2015-08-30,190.35566570979083,192.0960542766674,188.419473808158,189.7900390625,10770215.0,48,0.14,1988.87,0.14,2044.3476666666668,33.54744737598304,-6.96192696984744,217.63940216092283,187.01317705426897,3.6133943658683507
2015-08-31,189.88792747915056,189.88792747915056,185.74361490033297,186.20046997070312,20708942.0,49,0.08,1972.18,0.14,2039.959,30.130207970437752,-6.976846240765894,216.37642183084475,187.83209664481026,2.2900832578399846
2015-09-01,185.76538472715347,185.76538472715347,181.67545758628742,182.7088165283203,21645696.0,50,0.14,1913.85,0.142,2033.626,27.225120371670258,-7.1875633659118705,215.91200793052093,187.5741468157087,2.776161702518673
2015-09-02,184.9169098996915,186.46150950419823,183.3070473640102,184.8190155029297,19652369.0,51,0.14,1948.86,0.142,2028.6533333333332,31.522297382644425,-7.1024106156623645,215.33172752794357,187.45448739188058,2.8883702900825776
2015-09-03,185.7979947062172,187.25557711772777,183.6986455945355,185.75448608398438,11659978.0,52,0.14,1951.13,0.14200000000000002,2023.9136666666668,33.399750134688304,-6.8801319118139475,213.25201736611587,186.97898646763392,2.849308836595699
2015-09-04,184.85165412965017,184.85165412965017,179.4999338214119,181.84947204589844,16199949.0,53,0.14,1921.22,0.142,2017.9596666666666,29.734845564814904,-6.939086959850499,210.98766193035613,185.84461975097656,3.112173721974205
2015-09-05,184.85165412965017,184.85165412965017,179.4999338214119,181.84947204589844,16199949.0,54,0.14,1921.22,0.142,2012.5483333333332,29.734845564814904,-6.906198898228411,208.21173181029997,184.7102530343192,2.872313479906257
