ticker,name,transaction_date,filing_date,transaction_code,code_description,type,type_detailed,change,change_display,price,price_display,estimated_value,shares_after
AAPL,Adams Katherine L.,2025-11-12,2025-11-14,G,Gift of securities,SELL,SELL (Gift),"-3,750",,N/A (Gift of securities),,0.0,"175,408"
AAPL,KONDO CHRIS,2025-11-07,2025-11-12,S,Open market sale,SELL,SELL (Sale),"-3,752",,$271.23,,1017654.9600000001,"15,098"
AAPL,Parekh Kevan,2025-10-16,2025-10-17,S,Open market sale,SELL,SELL (Sale),-500,,$248.73,,124365.0,"8,765"
AAPL,Parekh Kevan,2025-10-16,2025-10-17,S,Open market sale,SELL,SELL (Sale),"-1,534",,$247.82,,380155.88,"9,265"
AAPL,Parekh Kevan,2025-10-16,2025-10-17,S,Open market sale,SELL,SELL (Sale),"-1,665",,$247.04,,411321.6,"10,799"
AAPL,Parekh Kevan,2025-10-16,2025-10-17,S,Open market sale,SELL,SELL (Sale),-500,,$245.89,,122945.0,"12,464"
AAPL,Parekh Kevan,2025-10-15,2025-10-17,M,Option exercise,SELL,SELL (Exercise),"-5,111",,~$249.10,,0.0,"20,442"
AAPL,Parekh Kevan,2025-10-15,2025-10-17,M,Option exercise,SELL,SELL (Exercise),"-5,816",,~$249.10,,0.0,"11,633"
AAPL,Parekh Kevan,2025-10-15,2025-10-17,M,Option exercise,SELL,SELL (Exercise),"-5,530",,~$249.10,,0.0,N/A
AAPL,Parekh Kevan,2025-10-15,2025-10-17,F,Shares sold to pay taxes,SELL,SELL (Tax Payment),"-8,062",,$249.34,,2010179.08,"12,964"
AAPL,Parekh Kevan,2025-10-15,2025-10-17,M,Option exercise,BUY,BUY (Exercise),"+16,457",,~$249.10,,0.0,"21,026"
AAPL,KONDO CHRIS,2025-10-15,2025-10-17,M,Option exercise,SELL,SELL (Exercise),"-1,482",,~$249.10,,0.0,"8,890"
AAPL,KONDO CHRIS,2025-10-15,2025-10-17,M,Option exercise,SELL,SELL (Exercise),"-1,898",,~$249.10,,0.0,"7,593"
AAPL,KONDO CHRIS,2025-10-15,2025-10-17,M,Option exercise,SELL,SELL (Exercise),"-2,077",,~$249.10,,0.0,"4,155"
AAPL,KONDO CHRIS,2025-10-15,2025-10-17,M,Option exercise,SELL,SELL (Exercise),"-1,914",,~$249.10,,0.0,N/A
AAPL,KONDO CHRIS,2025-10-15,2025-10-17,F,Shares sold to pay taxes,SELL,SELL (Tax Payment),"-3,619",,$249.34,,902361.46,"18,850"
AAPL,KONDO CHRIS,2025-10-15,2025-10-17,M,Option exercise,BUY,BUY (Exercise),"+7,371",,~$249.10,,0.0,"22,469"
AAPL,O'BRIEN DEIRDRE,2025-10-02,2025-10-03,S,Open market sale,SELL,SELL (Sale),"-1,740",,$258.08,,449059.19999999995,"136,687"
AAPL,O'BRIEN DEIRDRE,2025-10-02,2025-10-03,S,Open market sale,SELL,SELL (Sale),"-41,273",,$257.36,,10622019.280000001,"138,427"
