site_name,rss_url
ESPNCricinfo,https://www.espncricinfo.com/rss/content/story/feeds/0.xml
BBC Cricket,https://feeds.bbci.co.uk/sport/cricket/rss.xml
Sky Sports Cricket,https://www.skysports.com/rss/12123
Times of India Cricket,https://timesofindia.indiatimes.com/rssfeeds/-2128936835.cms
ESPN Cricket,https://www.espn.com/espn/rss/cricket/news
ESPN Cricket News,https://www.espncricinfo.com/rss/content/story/feeds/6.xml
ESPNCricinfo Features,https://www.espncricinfo.com/rss/content/story/feeds/15.xml
The Hindu Sports,https://www.thehindu.com/sport/feeder/default.rss
BBC Sport Football,https://feeds.bbci.co.uk/sport/football/rss.xml
Guardian Football,https://www.theguardian.com/football/rss
ESPN FC,https://www.espn.com/espn/rss/soccer/news
Sky Sports Football,https://www.skysports.com/rss/12040
Telegraph Football,https://www.telegraph.co.uk/football/rss.xml
Independent Football,https://www.independent.co.uk/sport/football/rss
Daily Mail Football,https://www.dailymail.co.uk/sport/football/index.rss
Metro Football,https://metro.co.uk/sport/football/feed/
The Athletic NBA,https://theathletic.com/rss/nba/
Yahoo Sports NBA,https://sports.yahoo.com/nba/rss.xml
ESPN NBA,https://www.espn.com/espn/rss/nba/news
Basketball Insiders,https://www.basketballinsiders.com/feed/
CBS Sports NBA,https://www.cbssports.com/rss/headlines/nba/
ESPN General Sports,https://www.espn.com/espn/rss/news
BBC Sport General,https://feeds.bbci.co.uk/sport/rss.xml
Sky Sports News,https://www.skysports.com/rss/12040
Yahoo Sports,https://sports.yahoo.com/rss/
CBS Sports,https://www.cbssports.com/rss/headlines/
Deadspin,https://deadspin.com/rss
Times of India Sports,https://timesofindia.indiatimes.com/rssfeeds/4719148.cms
Indian Express Sports,https://indianexpress.com/section/sports/feed/
